,year_,month_,day_,humidity_min,humidity_max,humidity_mean,temperature_min,temperature_max,temperature_mean,weight_min,weight_max,weight_mean
942,2017,8,9,64.92279166666657,77.90268055555549,71.41273611111103,33.912,34.952,34.392243055555554,55541.398888888885,55890.76027777759,55716.07958333324
943,2017,8,10,71.27219444444441,76.57422222222208,73.92320833333324,33.958,35.426,34.78420138888889,55481.81791666667,55969.49625000002,55725.65708333334
944,2017,8,11,83.5823888888889,86.38208333333323,84.98223611111106,33.642,34.83200000000001,34.167770833333336,55878.47083333329,55942.04374999984,55910.25729166657
945,2017,8,12,82.29302777777784,86.66254166666668,84.47778472222225,33.642,34.534,34.15871527777778,55735.6504166669,55766.655,55751.15270833345
946,2017,8,13,69.6480833333334,83.45756944444436,76.55282638888889,33.364000000000004,34.648,34.2441875,55198.381249999904,55510.40180555544,55354.39152777767
947,2017,8,14,68.5040416666667,80.83655555555549,74.6702986111111,33.724000000000004,34.67,34.17026388888889,54876.75708333335,54961.37277777772,54919.064930555534
948,2017,8,15,67.55345833333335,76.80377777777775,72.17861805555555,33.8,34.808,34.28985416666667,54755.413888888914,54828.08291666651,54791.74840277771
949,2017,8,16,65.00359722222225,74.5326666666667,69.76813194444448,31.590000000000003,34.71,33.03271527777778,54570.15624999975,54698.38194444445,54634.2690972221
950,2017,8,17,70.9035416666667,74.61705555555554,72.76029861111112,28.9,32.76199999999999,31.203722222222225,54507.74791666661,54675.81250000007,54591.78020833334
951,2017,8,18,75.62779166666664,78.67276388888891,77.15027777777777,30.324,32.556,31.31522916666667,54746.32333333339,54994.826527777775,54870.57493055558
952,2017,8,19,72.17124999999993,77.48789986091799,74.82957493045896,27.446,30.578000000000007,28.91998611111111,54644.18333333338,54747.42433936024,54695.80383634681
953,2017,8,20,79.29543055555548,79.79113888888897,79.54328472222223,24.82,28.448,26.420534722222225,54474.82333333336,54674.83361111117,54574.82847222227
954,2017,8,21,74.5931250000001,81.61673611111111,78.1049305555556,23.812,27.384000000000004,25.121180555555558,54617.525694444514,54624.704166666765,54621.11493055564
955,2017,8,22,67.58990277777774,80.5078194444443,74.04886111111102,22.954,30.088,25.643993055555555,53546.54319444436,54421.700833333234,53984.1220138888
956,2017,8,23,64.74308333333343,80.6425833333333,72.69283333333337,24.3,32.596,28.198701388888892,52848.183333333385,53246.156527777865,53047.169930555625
957,2017,8,24,67.08451388888889,79.58434722222216,73.33443055555553,25.596,30.658,27.501604166666667,52998.662916666726,53027.95138888884,53013.30715277778
958,2017,8,25,68.8202361111111,79.23544444444434,74.02784027777773,24.484,28.024,26.334291666666665,52908.72194444454,52967.837777777815,52938.27986111118
959,2017,8,26,72.86747222222222,83.12683333333324,77.99715277777773,22.41,28.248,25.779736111111113,52761.80277777789,52962.50972222219,52862.156250000044
960,2017,8,27,72.51288888888885,80.92733333333331,76.72011111111108,25.806,29.114,27.472437499999998,52926.129305555565,53046.05722222222,52986.09326388889
961,2017,8,28,75.22411111111116,84.98201388888894,80.10306250000005,22.766,28.22000000000001,25.78730555555556,52993.40055555572,53218.669305555566,53106.034930555645
962,2017,8,29,72.7078888888888,84.46847222222225,78.58818055555552,22.74,29.585999999999995,26.101506944444445,53060.90736111122,53137.81125000004,53099.35930555563
963,2017,8,30,78.13426388888887,80.82800000000006,79.48113194444446,26.328,29.834,28.235118055555557,53086.53944444437,53292.313333333565,53189.42638888897
964,2017,8,31,80.94590277777769,83.71333333333328,82.32961805555549,24.13000000000001,29.824,27.234840277777778,53092.38958333343,53238.94847222211,53165.66902777777
965,2017,9,1,84.15418055555571,86.91859722222227,85.536388888889,21.25,25.318,23.254243055555555,53123.83222222224,53127.85805555559,53125.845138888915
966,2017,9,2,85.04111111111135,89.77138888888888,87.40625000000011,19.804,24.336,22.0075,53070.87874999998,53081.48722222229,53076.18298611113
967,2017,9,3,82.3462500000001,88.1648750000001,85.2555625000001,18.726,24.916,21.547340277777778,52904.87083333336,52952.64847222201,52928.75965277769
968,2017,9,4,56.74586111111108,89.13387499999992,72.93986805555551,17.532,27.096000000000004,21.719430555555554,52807.62916666662,52971.602638888864,52889.61590277775
969,2017,9,5,-94.91841666666669,-33.333333333333336,-64.12587500000001,18.72,26.784,22.846055555555555,52910.21861111112,53113.50611111129,53011.862361111205
970,2017,9,6,77.3915972222223,89.19999999999996,83.29579861111114,22.79,26.862,24.80366666666667,52996.53472222208,58110.09194444457,55553.313333333324
971,2017,9,7,87.60686111111103,91.71279554937414,89.65982833024259,21.208,27.406,23.874256944444443,59349.06787204449,59488.56069444442,59418.81428324446
972,2017,9,8,87.76541666666678,88.59319444444456,88.17930555555567,23.376,24.896,24.16607638888889,59222.679444444606,59309.792638889005,59266.23604166681
973,2017,9,9,71.43983333333325,85.078875,78.25935416666663,24.098000000000003,29.716,25.589333333333332,59134.64944444448,59180.48736111102,59157.56840277775
974,2017,9,10,59.52575000000003,88.7698472222221,74.14779861111106,21.56,30.334,25.0641875,58633.87805555557,58778.1419444444,58706.00999999999
975,2017,9,11,-48.10041666666668,47.40916666666666,-0.3456250000000125,24.518,26.76,25.240569444444446,58438.77277777776,58500.7086111112,58469.74069444448
976,2017,9,12,89.59083333333328,91.36736111111108,90.47909722222218,22.628,25.508000000000006,23.78130555555556,58198.915694444295,58290.232777777725,58244.57423611101
977,2017,9,13,92.60750000000006,94.83416666666668,93.72083333333336,21.176,23.132,22.018854166666667,58012.76652777785,58102.72958333338,58057.74805555561
978,2017,9,14,90.39375000000014,95.04763888888871,92.72069444444443,20.43,23.976,21.47479861111111,57715.3333333333,57954.43208333352,57834.88270833341
979,2017,9,15,88.04736111111114,94.51027777777772,91.27881944444442,20.098,22.988000000000003,21.48754166666667,57548.763194444255,57615.569861111086,57582.16652777767
980,2017,9,16,92.29569444444444,92.44319444444434,92.36944444444438,18.952,21.366000000000003,20.082048611111112,57247.46000000001,57321.96611111116,57284.713055555585
981,2017,9,17,90.63583333333315,91.09277777777778,90.86430555555546,18.204,21.288,19.571159722222223,57176.034444444245,57234.25805555548,57205.14624999986
